,current speed,direction,u,v
2003-02-15-00-59,12.029999999999999,188.97999999999999,-1.8799999999999999,-11.880000000000001
2003-02-15-02-00,10.27,165.06999999999999,2.6400000000000001,-9.9199999999999999
2003-02-15-03-00,15.25,127.45,12.109999999999999,-9.2699999999999996
2003-02-15-03-59,16.420000000000002,155.58000000000001,6.79,-14.960000000000001
2003-02-15-05-00,14.369999999999999,156.99000000000001,5.6200000000000001,-13.23
2003-02-15-06-00,13.49,146.09,7.5300000000000002,-11.199999999999999
2003-02-15-06-59,15.539999999999999,137.30000000000001,10.539999999999999,-11.42
2003-02-15-08-00,7.04,168.24000000000001,1.4299999999999999,-6.8899999999999997
2003-02-15-09-00,9.3900000000000006,199.53,-3.1400000000000001,-8.8499999999999996
2003-02-15-09-59,10.56,216.75999999999999,-6.3200000000000003,-8.4600000000000009
2003-02-15-11-00,12.32,219.56999999999999,-7.8499999999999996,-9.5
2003-02-15-12-00,14.369999999999999,222.38,-9.6899999999999995,-10.619999999999999
2003-02-15-12-59,13.49,192.84999999999999,-3.0,-13.15
2003-02-15-14-00,16.420000000000002,202.34,-6.2400000000000002,-15.19
2003-02-15-15-00,16.420000000000002,167.18000000000001,3.6400000000000001,-16.02
2003-02-15-15-59,13.49,170.69999999999999,2.1800000000000002,-13.31
2003-02-15-17-00,20.239999999999998,137.30000000000001,13.73,-14.869999999999999
2003-02-15-18-00,23.460000000000001,145.38,13.33,-19.309999999999999
2003-02-15-18-59,13.789999999999999,142.22,8.4499999999999993,-10.9
2003-02-15-20-00,12.029999999999999,140.81,7.5999999999999996,-9.3200000000000003
2003-02-15-21-00,12.91,167.88999999999999,2.71,-12.619999999999999
2003-02-15-21-59,21.699999999999999,167.53999999999999,4.6799999999999997,-21.190000000000001
2003-02-15-23-00,16.129999999999999,158.75,5.8499999999999996,-15.029999999999999
2003-02-16-00-00,16.719999999999999,192.5,-3.6200000000000001,-16.32
2003-02-16-00-59,20.530000000000001,183.36000000000001,-1.2,-20.5
2003-02-16-02-00,21.120000000000001,196.37,-5.9500000000000002,-20.260000000000002
2003-02-16-03-00,22.579999999999998,178.78999999999999,0.47999999999999998,-22.579999999999998
2003-02-16-03-59,13.49,142.56999999999999,8.1999999999999993,-10.710000000000001
2003-02-16-05-00,24.050000000000001,145.03,13.779999999999999,-19.710000000000001
2003-02-16-06-00,17.890000000000001,114.8,16.239999999999998,-7.5
2003-02-16-06-59,11.44,104.59999999999999,11.07,-2.8799999999999999
2003-02-16-08-00,10.85,112.33,10.039999999999999,-4.1200000000000001
2003-02-16-09-00,11.44,153.81999999999999,5.0499999999999998,-10.27
2003-02-16-09-59,11.73,182.30000000000001,-0.46999999999999997,-11.720000000000001
2003-02-16-11-00,10.85,177.38,0.5,-10.84
2003-02-16-12-00,14.08,195.31,-3.7200000000000002,-13.58
2003-02-16-12-59,14.960000000000001,203.40000000000001,-5.9400000000000004,-13.73
2003-02-16-14-00,15.84,213.24000000000001,-8.6799999999999997,-13.25
2003-02-16-15-00,15.539999999999999,187.22,-1.95,-15.42
2003-02-16-15-59,13.789999999999999,162.96000000000001,4.04,-13.18
2003-02-16-17-00,13.49,146.09,7.5300000000000002,-11.199999999999999
2003-02-16-18-00,9.0899999999999999,123.94,7.54,-5.0800000000000001
2003-02-16-18-59,12.91,111.98,11.970000000000001,-4.8300000000000001
2003-02-16-20-00,12.029999999999999,102.14,11.76,-2.5299999999999998
